Company Code,Plant,Material,Material Description,Material Doc.Item,Posting Date,Storage Location,Movement Type,Qty in unit of entry,Unit of Entry,Cost Center,Currency,Amt.in Loc.Cur.,Local Entry Time,User Name,Document Header Text
2310,2311,23003784040C,INNER FILTER RH TAIL LIGHT VW416 FL T1,1,3/23/2024,702,131,1,PC,,MXN,9.07,23.03.2024  13:15:41,B-P0A-2310,4515361
2310,2311,23003785030B,BEZEL LH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,131,1,PC,,MXN,19.19,23.03.2024  13:15:41,B-P0A-2310,4515360
2310,2311,23F03784000H,3CN.945.096H RL RH 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,634.38,23.03.2024  13:15:43,B-P0A-2310,4515359
2310,2311,23F03784900J,3CN.945.075J SET TL 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,"1,340.02",23.03.2024  13:15:45,B-P0A-2310,4515358
2310,2311,23F03784900J,3CN.945.075J SET TL 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,"1,340.02",23.03.2024  13:15:46,B-P0A-2310,4515357
2310,2311,23F03784000H,3CN.945.096H RL RH 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,634.38,23.03.2024  13:15:48,B-P0A-2310,4515356
2310,2311,23F03785000H,3CN.945.095H RL LH 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,634.38,23.03.2024  13:15:52,B-P0A-2310,4515355
2310,2311,23F03784000H,3CN.945.096H RL RH 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,634.38,23.03.2024  13:15:55,B-P0A-2310,4515349
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,131,1,PC,,MXN,19.19,23.03.2024  13:15:57,B-P0A-2310,4515348
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,131,1,PC,,MXN,19.19,23.03.2024  13:15:58,B-P0A-2310,4515346
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,131,1,PC,,MXN,19.19,23.03.2024  13:15:58,B-P0A-2310,4515347
2310,2311,23003838030D,BEZEL  RH R.L. AU426PA - ECE,1,3/23/2024,701,131,144,PC,,MXN,"1,730.75",23.03.2024  13:15:59,B-P0A-2310,4515345
2310,2311,23003784040C,INNER FILTER RH TAIL LIGHT VW416 FL T1,1,3/23/2024,702,131,84,PC,,MXN,761.72,23.03.2024  13:16:00,B-P0A-2310,4515344
2310,2311,23F03784900J,3CN.945.075J SET TL 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,"1,340.02",23.03.2024  13:16:01,B-P0A-2310,4515343
2310,2311,23F03784000H,3CN.945.096H RL RH 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,634.38,23.03.2024  13:16:02,B-P0A-2310,4515342
2310,2311,23003785020A,OUTER LENS LH TAIL LIGHT VW416 FL T1,1,3/23/2024,702,131,1,PC,,MXN,26.92,23.03.2024  13:16:04,B-P0A-2310,4515341
2310,2311,2300300773AE,HOUSING T2 PA1 COUPE,1,3/23/2024,702,131,1,PC,,MXN,107.59,23.03.2024  13:16:06,B-P0A-2310,4515340
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,551,-1,PC,31100PR012,MXN,-19.19,23.03.2024  13:25:33,B-P0A-2310,4515400
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,551,-1,PC,31100PR012,MXN,-19.19,23.03.2024  13:25:33,B-P0A-2310,4515401
2310,2311,23F03785000J,3CN.945.095J RL LH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:25:34,B-P0A-2310,4515387
2310,2311,23F03784900K,3CN.945.075K SET R 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,"1,366.57",23.03.2024  13:25:36,B-P0A-2310,4515388
2310,2311,23F03784000J,3CN.945.096J RL RH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:25:38,B-P0A-2310,4515389
2310,2311,23F03785000J,3CN.945.095J RL LH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:25:41,B-P0A-2310,4515390
2310,2311,23003908061C,REFLECTOR MTLZ RH APPLIQUE VW316,1,3/23/2024,702,131,40,PC,,MXN,"1,818.05",23.03.2024  13:25:42,B-P0A-2310,4515391
2310,2311,23003838020D,OUTERLENS RH R.L. AU426PA - ECE,1,3/23/2024,702,131,39,PC,,MXN,737.11,23.03.2024  13:25:43,B-P0A-2310,4515392
2310,2311,23F03785000J,3CN.945.095J RL LH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:25:45,B-P0A-2310,4515393
2310,2311,23F03784900K,3CN.945.075K SET R 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,"1,366.57",23.03.2024  13:25:46,B-P0A-2310,4515394
2310,2311,2300800404AD,INNER LENS RH T2 PA1 COUPE,1,3/23/2024,702,131,80,PC,,MXN,"1,124.38",23.03.2024  13:25:48,B-P0A-2310,4515395
2310,2311,2300800403AD,INNER LENS LH T2 PA1 COUPE,1,3/23/2024,702,131,80,PC,,MXN,"1,124.38",23.03.2024  13:25:49,B-P0A-2310,4515396
2310,2311,23F03784000J,3CN.945.096J RL RH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:25:50,B-P0A-2310,4515397
2310,2311,23F03785000J,3CN.945.095J RL LH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:25:52,B-P0A-2310,4515398
2310,2311,23F03784900K,3CN.945.075K SET R 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,"1,366.57",23.03.2024  13:25:54,B-P0A-2310,4515399
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,131,1,PC,,MXN,19.19,23.03.2024  13:25:55,B-P0A-2310,4515401
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,131,1,PC,,MXN,19.19,23.03.2024  13:25:55,B-P0A-2310,4515400
2310,2311,23F03785000J,3CN.945.095J RL LH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:25:57,B-P0A-2310,4515402
2310,2311,23F03784000J,3CN.945.096J RL RH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:25:59,B-P0A-2310,4515403
2310,2311,23003838040C,REFLECTOR RH R.L. AU426PA -,1,3/23/2024,701,131,45,PC,,MXN,"1,479.65",23.03.2024  13:26:01,B-P0A-2310,4515404
2310,2311,23003837040C,REFLECTOR LH R.L. AU426PA -,1,3/23/2024,701,131,45,PC,,MXN,"1,479.65",23.03.2024  13:26:02,B-P0A-2310,4515405
2310,2311,23F03785000J,3CN.945.095J RL LH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:26:03,B-P0A-2310,4515406
2310,2311,23F03784900K,3CN.945.075K SET R 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,"1,366.57",23.03.2024  13:26:04,B-P0A-2310,4515407
2310,2311,23003837020D,OUTERLENS LH R.L. AU426PA - ECE,1,3/23/2024,702,131,30,PC,,MXN,567.01,23.03.2024  13:26:05,B-P0A-2310,4515364
2310,2311,23003908061C,REFLECTOR MTLZ RH APPLIQUE VW316,1,3/23/2024,702,131,36,PC,,MXN,"1,636.25",23.03.2024  13:26:06,B-P0A-2310,4515365
2310,2311,23003908061C,REFLECTOR MTLZ RH APPLIQUE VW316,1,3/23/2024,702,131,36,PC,,MXN,"1,636.25",23.03.2024  13:26:07,B-P0A-2310,4515367
2310,2311,23003908061C,REFLECTOR MTLZ RH APPLIQUE VW316,1,3/23/2024,702,131,36,PC,,MXN,"1,636.25",23.03.2024  13:26:07,B-P0A-2310,4515366
2310,2311,23003908061C,REFLECTOR MTLZ RH APPLIQUE VW316,1,3/23/2024,702,131,36,PC,,MXN,"1,636.25",23.03.2024  13:26:08,B-P0A-2310,4515369
2310,2311,23003908061C,REFLECTOR MTLZ RH APPLIQUE VW316,1,3/23/2024,702,131,36,PC,,MXN,"1,636.25",23.03.2024  13:26:08,B-P0A-2310,4515368
2310,2311,23003837020D,OUTERLENS LH R.L. AU426PA - ECE,1,3/23/2024,702,131,19,PC,,MXN,359.11,23.03.2024  13:26:09,B-P0A-2310,4515370
2310,2311,23003908051C,REFLECTOR MTLZ LH APPLIQUE VW316,1,3/23/2024,702,131,36,PC,,MXN,"1,636.25",23.03.2024  13:26:10,B-P0A-2310,4515371
2310,2311,23003907020A,EXTERNAL LENS LH T1 VW316,1,3/23/2024,702,131,10,PC,,MXN,315.35,23.03.2024  13:26:11,B-P0A-2310,4515372
2310,2311,23003908051C,REFLECTOR MTLZ LH APPLIQUE VW316,1,3/23/2024,702,131,36,PC,,MXN,"1,636.25",23.03.2024  13:26:11,B-P0A-2310,4515373
2310,2311,23003907020A,EXTERNAL LENS LH T1 VW316,1,3/23/2024,702,131,10,PC,,MXN,315.35,23.03.2024  13:26:12,B-P0A-2310,4515374
2310,2311,23003907020A,EXTERNAL LENS LH T1 VW316,1,3/23/2024,702,131,10,PC,,MXN,315.35,23.03.2024  13:26:13,B-P0A-2310,4515376
2310,2311,23003908051C,REFLECTOR MTLZ LH APPLIQUE VW316,1,3/23/2024,702,131,36,PC,,MXN,"1,636.25",23.03.2024  13:26:13,B-P0A-2310,4515375
2310,2311,23003908051C,REFLECTOR MTLZ LH APPLIQUE VW316,1,3/23/2024,702,131,36,PC,,MXN,"1,636.25",23.03.2024  13:26:14,B-P0A-2310,4515377
2310,2311,23F03785000J,3CN.945.095J RL LH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:26:15,B-P0A-2310,4515378
2310,2311,23003908051C,REFLECTOR MTLZ LH APPLIQUE VW316,1,3/23/2024,702,131,36,PC,,MXN,"1,636.25",23.03.2024  13:26:17,B-P0A-2310,4515379
2310,2311,23003908051C,REFLECTOR MTLZ LH APPLIQUE VW316,1,3/23/2024,702,131,24,PC,,MXN,"1,090.83",23.03.2024  13:26:17,B-P0A-2310,4515380
2310,2311,23F03784000J,3CN.945.096J RL RH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:26:19,B-P0A-2310,4515381
2310,2311,23F03785000J,3CN.945.095J RL LH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:26:21,B-P0A-2310,4515382
2310,2311,23F03784900K,3CN.945.075K SET R 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,"1,366.57",23.03.2024  13:26:23,B-P0A-2310,4515383
2310,2311,23003906020A,External Lens RH T1 VW316,1,3/23/2024,702,131,10,PC,,MXN,315.35,23.03.2024  13:26:25,B-P0A-2310,4515384
2310,2311,23003906020A,External Lens RH T1 VW316,1,3/23/2024,702,131,10,PC,,MXN,315.35,23.03.2024  13:26:26,B-P0A-2310,4515385
2310,2311,23F03784000J,3CN.945.096J RL RH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:26:27,B-P0A-2310,4515386
2310,2311,23005744020A,LENS FRONT ROOF LIGHT,1,3/23/2024,702,551,-1,PC,31100PR014,MXN,-3.65,23.03.2024  13:36:00,B-P0A-2310,4515444
2310,2311,23003837030D,BEZEL  LH R.L. AU426PA - ECE,1,3/23/2024,701,551,-1,PC,31100PR038,MXN,-12.02,23.03.2024  13:36:01,B-P0A-2310,4515426
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,551,-1,PC,31100PR018,MXN,-20.16,23.03.2024  13:36:01,B-P0A-2310,4515445
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,551,-1,PC,31100PR018,MXN,-20.16,23.03.2024  13:36:02,B-P0A-2310,4515447
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,551,-1,PC,31100PR018,MXN,-20.16,23.03.2024  13:36:02,B-P0A-2310,4515443
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,551,-1,PC,31100PR018,MXN,-20.16,23.03.2024  13:36:02,B-P0A-2310,4515441
2310,2311,23005744020A,LENS FRONT ROOF LIGHT,1,3/23/2024,702,551,-1,PC,31100PR014,MXN,-3.65,23.03.2024  13:36:02,B-P0A-2310,4515442
2310,2311,23003908051C,REFLECTOR MTLZ LH APPLIQUE VW316,1,3/23/2024,702,551,-1,PC,31100PR047,MXN,-45.45,23.03.2024  13:36:03,B-P0A-2310,4515432
2310,2311,23003908061C,REFLECTOR MTLZ RH APPLIQUE VW316,1,3/23/2024,702,551,-1,PC,31100PR047,MXN,-45.45,23.03.2024  13:36:03,B-P0A-2310,4515431
2310,2311,23005744020A,LENS FRONT ROOF LIGHT,1,3/23/2024,702,551,-1,PC,31100PR014,MXN,-3.65,23.03.2024  13:36:03,B-P0A-2310,4515440
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,551,-1,PC,31100PR012,MXN,-19.19,23.03.2024  13:36:04,B-P0A-2310,4515421
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,551,-1,PC,31100PR012,MXN,-19.19,23.03.2024  13:36:04,B-P0A-2310,4515418
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,551,-1,PC,31100PR018,MXN,-20.16,23.03.2024  13:36:04,B-P0A-2310,4515439
2310,2311,23003838030D,BEZEL  RH R.L. AU426PA - ECE,1,3/23/2024,701,551,-1,PC,31100PR038,MXN,-12.02,23.03.2024  13:36:04,B-P0A-2310,4515420
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,551,-1,PC,31100PR018,MXN,-20.16,23.03.2024  13:36:05,B-P0A-2310,4515449
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,551,-1,PC,31100PR018,MXN,-20.16,23.03.2024  13:36:05,B-P0A-2310,4515450
2310,2311,23003838030D,BEZEL  RH R.L. AU426PA - ECE,1,3/23/2024,701,551,-1,PC,31100PR038,MXN,-12.02,23.03.2024  13:36:05,B-P0A-2310,4515416
2310,2311,23003838030D,BEZEL  RH R.L. AU426PA - ECE,1,3/23/2024,701,551,-1,PC,31100PR038,MXN,-12.02,23.03.2024  13:36:05,B-P0A-2310,4515412
2310,2311,23003784051A,STOP REFLECTOR MTLZ RH TL VW416 FL T1,1,3/23/2024,702,551,-1,PC,31100PR018,MXN,-8.7,23.03.2024  13:36:06,B-P0A-2310,4515411
2310,2311,23005744020A,LENS FRONT ROOF LIGHT,1,3/23/2024,702,551,-1,PC,31100PR014,MXN,-3.65,23.03.2024  13:36:06,B-P0A-2310,4515438
2310,2311,23005744020A,LENS FRONT ROOF LIGHT,1,3/23/2024,702,131,1,PC,,MXN,3.65,23.03.2024  13:36:07,B-P0A-2310,4515442
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,131,1,PC,,MXN,20.16,23.03.2024  13:36:08,B-P0A-2310,4515441
2310,2311,23005744020A,LENS FRONT ROOF LIGHT,1,3/23/2024,702,131,1,PC,,MXN,3.65,23.03.2024  13:36:08,B-P0A-2310,4515440
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,131,1,PC,,MXN,20.16,23.03.2024  13:36:09,B-P0A-2310,4515439
2310,2311,23005744020A,LENS FRONT ROOF LIGHT,1,3/23/2024,702,131,1,PC,,MXN,3.65,23.03.2024  13:36:10,B-P0A-2310,4515438
2310,2311,23F03784900K,3CN.945.075K SET R 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,"1,366.57",23.03.2024  13:36:10,B-P0A-2310,4515437
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,131,1,PC,,MXN,20.16,23.03.2024  13:36:11,B-P0A-2310,4515443
2310,2311,23005744020A,LENS FRONT ROOF LIGHT,1,3/23/2024,702,131,1,PC,,MXN,3.65,23.03.2024  13:36:12,B-P0A-2310,4515444
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,131,1,PC,,MXN,20.16,23.03.2024  13:36:13,B-P0A-2310,4515445
2310,2311,23F03784000J,3CN.945.096J RL RH 416 FL T1 Painted Bar,1,3/23/2024,702,131,1,PC,,MXN,647.66,23.03.2024  13:36:14,B-P0A-2310,4515446
2310,2311,23003837031D,BEZEL MTLZ LH R.L. AU426PA - ECE,1,3/23/2024,702,131,1,PC,,MXN,20.16,23.03.2024  13:36:16,B-P0A-2310,4515447
2310,2311,2300400791AB,OUTER LENS T2 PA1 COUPE,1,3/23/2024,702,131,27,PC,,MXN,"1,818.43",23.03.2024  13:36:17,B-P0A-2310,4515448
